comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
ALUMBRA;6.1TD;DIAMANTE;CONS. 150.000 - 200.000 KW;;;4.599,00 €;3.909,15 €;3.679,20 €;3.311,28 €;367,92 €;2.943,36 €;735,84 €;1.839,60 €;1.839,60 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 200.000 - 300.000 KW;;;6.478,00 €;5.506,30 €;5.182,40 €;4.664,16 €;518,24 €;4.145,92 €;1.036,48 €;2.591,20 €;2.591,20 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 300.000 - 400.000 KW;;;10.723,00 €;9.114,55 €;8.578,40 €;7.720,56 €;857,84 €;6.862,72 €;1.715,68 €;4.289,20 €;4.289,20 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 400.000 - 500.000 KW;;;12.426,00 €;10.562,10 €;9.940,80 €;8.946,72 €;994,08 €;7.952,64 €;1.988,16 €;4.970,40 €;4.970,40 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 500.000 - 700.000 KW;;;17.688,00 €;15.034,80 €;14.150,40 €;12.735,36 €;1.415,04 €;11.320,32 €;2.830,08 €;7.075,20 €;7.075,20 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 700.000 - 1.200.000 KW;;;2.211,00 €;1.879,35 €;1.768,80 €;1.591,92 €;176,88 €;1.415,04 €;353,76 €;884,40 €;884,40 €
ALUMBRA;6.1TD;DIAMANTE;CONS. 1.200.000 - 2.500.000 KW;;;26.532,00 €;22.552,20 €;21.225,60 €;19.103,04 €;2.122,56 €;16.980,48 €;4.245,12 €;10.612,80 €;10.612,80 €
ALUMBRA;6.1TD;DIAMANTE;CONS. > 2.500.000 KW;;;30.954,00 €;26.310,90 €;24.763,20 €;22.286,88 €;2.476,32 €;19.810,56 €;4.952,64 €;12.381,60 €;12.381,60 €
ALUMBRA;2.0TD;CORINDON;CONS. 0 - 5.000 KW;;;127,00 €;107,95 €;101,60 €;91,44 €;10,16 €;81,28 €;20,32 €;50,80 €;50,80 €
ALUMBRA;2.0TD;CORINDON;CONS. 5.000 - 10.000 KW;;;264,00 €;224,40 €;211,20 €;190,08 €;21,12 €;168,96 €;42,24 €;105,60 €;105,60 €
ALUMBRA;2.0TD;CORINDON;CONS. 10.000 - 20.000 KW;;;439,00 €;373,15 €;351,20 €;316,08 €;35,12 €;280,96 €;70,24 €;175,60 €;175,60 €
ALUMBRA;2.0TD;CORINDON;CONS. 20.000 - 30.000 KW;;;675,00 €;573,75 €;540,00 €;486,00 €;54,00 €;432,00 €;108,00 €;270,00 €;270,00 €
ALUMBRA;2.0TD;CORINDON;CONS. 30.000 - 40.000 KW;;;752,00 €;639,20 €;601,60 €;541,44 €;60,16 €;481,28 €;120,32 €;300,80 €;300,80 €
ALUMBRA;2.0TD;CORINDON;CONS. 40.000 - 50.000 KW;;;973,00 €;827,05 €;778,40 €;700,56 €;77,84 €;622,72 €;155,68 €;389,20 €;389,20 €
ALUMBRA;2.0TD;CORINDON;CONS. 50.000 - 70.000 KW;;;1.415,00 €;1.202,75 €;1.132,00 €;1.018,80 €;113,20 €;905,60 €;226,40 €;566,00 €;566,00 €
ALUMBRA;2.0TD;CORINDON;CONS. 70.000 - 100.000 KW;;;1.592,00 €;1.353,20 €;1.273,60 €;1.146,24 €;127,36 €;1.018,88 €;254,72 €;636,80 €;636,80 €
ALUMBRA;2.0TD;CORINDON;CONS. > 100.000 KW;;;1.857,00 €;1.578,45 €;1.485,60 €;1.337,04 €;148,56 €;1.188,48 €;297,12 €;742,80 €;742,80 €
ALUMBRA;3.0TD;CORINDON;CONS. 0 - 5.000 KW;;;284,00 €;241,40 €;227,20 €;204,48 €;22,72 €;181,76 €;45,44 €;113,60 €;113,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 5.000 - 10.000 KW;;;370,00 €;314,50 €;296,00 €;266,40 €;29,60 €;236,80 €;59,20 €;148,00 €;148,00 €
ALUMBRA;3.0TD;CORINDON;CONS. 10.000 - 20.000 KW;;;641,00 €;544,85 €;512,80 €;461,52 €;51,28 €;410,24 €;102,56 €;256,40 €;256,40 €
ALUMBRA;3.0TD;CORINDON;CONS. 20.000 - 30.000 KW;;;789,00 €;670,65 €;631,20 €;568,08 €;63,12 €;504,96 €;126,24 €;315,60 €;315,60 €
ALUMBRA;3.0TD;CORINDON;CONS. 30.000 - 40.000 KW;;;1.011,00 €;859,35 €;808,80 €;727,92 €;80,88 €;647,04 €;161,76 €;404,40 €;404,40 €
