comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L2;CONS. 100.000 - 249.999 KW;;;630,00 €;567,00 €;504,00 €;453,60 €;50,40 €;403,20 €;100,80 €;252,00 €;252,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L4;CONS. 100.000 - 249.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;PRESENCIALES SBC TA24HPY 3.0 REPOS2 12M L4;CONS. 100.000 - 249.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L8;CONS. 100.000 - 249.999 KW;;;337,50 €;303,75 €;270,00 €;243,00 €;27,00 €;216,00 €;54,00 €;135,00 €;135,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC 12M L4;CONS. 100.000 - 249.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC REPOS3 12M L8;CONS. 100.000 - 249.999 KW;;;337,50 €;303,75 €;270,00 €;243,00 €;27,00 €;216,00 €;54,00 €;135,00 €;135,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L0;CONS. 100.000 - 249.999 KW;;;900,00 €;810,00 €;720,00 €;648,00 €;72,00 €;576,00 €;144,00 €;360,00 €;360,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC REPOS 2 12M L2;CONS. 100.000 - 249.999 KW;;;630,00 €;567,00 €;504,00 €;453,60 €;50,40 €;403,20 €;100,80 €;252,00 €;252,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L4;CONS. 100.000 - 249.999 KW;;;450,00 €;405,00 €;360,00 €;324,00 €;36,00 €;288,00 €;72,00 €;180,00 €;180,00 €
REPSOL;3.0TD;TARIFA NEGOCIO XL SBC 12M L8;CONS. 100.000 - 249.999 KW;;;337,50 €;303,75 €;270,00 €;243,00 €;27,00 €;216,00 €;54,00 €;135,00 €;135,00 €
REPSOL;3.0TD;SOLAR EMPRESA SBC REPOS2 12M L8;CONS. 100.000 - 249.999 KW;;;337,50 €;303,75 €;270,00 €;243,00 €;27,00 €;216,00 €;54,00 €;135,00 €;135,00 €
REPSOL;3.0TD;SOLAR NOCHES+FINES_SEMANA SBC REPOS2 12M L2;CONS. 100.000 - 249.999 KW;;;630,00 €;567,00 €;504,00 €;453,60 €;50,40 €;403,20 €;100,80 €;252,00 €;252,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L0;CONS. 250.000 - 499.999 KW;;;1.440,00 €;1.296,00 €;1.152,00 €;1.036,80 €;115,20 €;921,60 €;230,40 €;576,00 €;576,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L2;CONS. 250.000 - 499.999 KW;;;1.026,00 €;923,40 €;820,80 €;738,72 €;82,08 €;656,64 €;164,16 €;410,40 €;410,40 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L4;CONS. 250.000 - 499.999 KW;;;810,00 €;729,00 €;648,00 €;583,20 €;64,80 €;518,40 €;129,60 €;324,00 €;324,00 €
REPSOL;3.0TD;PRESENCIALES SBC TA24HPY 3.0 REPOS2 12M L4;CONS. 250.000 - 499.999 KW;;;810,00 €;729,00 €;648,00 €;583,20 €;64,80 €;518,40 €;129,60 €;324,00 €;324,00 €
REPSOL;3.0TD;PRESENCIALES REPOS 2 12M L8;CONS. 250.000 - 499.999 KW;;;522,00 €;469,80 €;417,60 €;375,84 €;41,76 €;334,08 €;83,52 €;208,80 €;208,80 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC 12M L4;CONS. 250.000 - 499.999 KW;;;810,00 €;729,00 €;648,00 €;583,20 €;64,80 €;518,40 €;129,60 €;324,00 €;324,00 €
REPSOL;3.0TD;PRECIO FIJO PRESENCIALES SBC REPOS3 12M L8;CONS. 250.000 - 499.999 KW;;;522,00 €;469,80 €;417,60 €;375,84 €;41,76 €;334,08 €;83,52 €;208,80 €;208,80 €
