comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 20.001 - 30.000 KW;;;400,00 €;340,00 €;320,00 €;288,00 €;32,00 €;256,00 €;64,00 €;160,00 €;160,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 30.001 - 40.000 KW;;;470,00 €;399,50 €;376,00 €;338,40 €;37,60 €;300,80 €;75,20 €;188,00 €;188,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 40.001 - 50.000 KW;;;580,00 €;493,00 €;464,00 €;417,60 €;46,40 €;371,20 €;92,80 €;232,00 €;232,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 50.001 - 75.000 KW;;;674,00 €;572,90 €;539,20 €;485,28 €;53,92 €;431,36 €;107,84 €;269,60 €;269,60 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 75.001 - 100.000 KW;;;710,00 €;603,50 €;568,00 €;511,20 €;56,80 €;454,40 €;113,60 €;284,00 €;284,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 100.001 - 150.000 KW;;;910,00 €;773,50 €;728,00 €;655,20 €;72,80 €;582,40 €;145,60 €;364,00 €;364,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 150.001 - 200.000 KW;;;1.300,00 €;1.105,00 €;1.040,00 €;936,00 €;104,00 €;832,00 €;208,00 €;520,00 €;520,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 200.001 - 300.000 KW;;;1.700,00 €;1.445,00 €;1.360,00 €;1.224,00 €;136,00 €;1.088,00 €;272,00 €;680,00 €;680,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 300.001 - 500.000 KW;;;2.530,00 €;2.150,50 €;2.024,00 €;1.821,60 €;202,40 €;1.619,20 €;404,80 €;1.012,00 €;1.012,00 €
TOTAL_PYME;6.1TD;CLASICA BASE TE1;CONS. 500.001 - 750.000 KW;;;3.700,00 €;3.145,00 €;2.960,00 €;2.664,00 €;296,00 €;2.368,00 €;592,00 €;1.480,00 €;1.480,00 €
