comercializadora;tarifa_acceso;tarifa_comercial;rango;mantenimiento;comision_variable;comision_fija;canal_preferente;canal;comercial_i;jefe_equipo_i;comercial_ii;jefe_equipo_ii;comercial_iii;jefe_equipo_iii
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 30.000 - 40.000 kW;;;403,00 €;342,55 €;322,40 €;290,16 €;32,24 €;257,92 €;64,48 €;161,20 €;161,20 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 40.000 - 50.000 kW;;;460,00 €;391,00 €;368,00 €;331,20 €;36,80 €;294,40 €;73,60 €;184,00 €;184,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 50.000 - 70.000 kW;;;575,00 €;488,75 €;460,00 €;414,00 €;46,00 €;368,00 €;92,00 €;230,00 €;230,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 70.000 - 100.000 kW;;;920,00 €;782,00 €;736,00 €;662,40 €;73,60 €;588,80 €;147,20 €;368,00 €;368,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 100.000 - 150.000kW;;;1.035,00 €;879,75 €;828,00 €;745,20 €;82,80 €;662,40 €;165,60 €;414,00 €;414,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 150.000 - 200.000 kW;;;1.380,00 €;1.173,00 €;1.104,00 €;993,60 €;110,40 €;883,20 €;220,80 €;552,00 €;552,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 200.000 - 300.000 kW;;;1.840,00 €;1.564,00 €;1.472,00 €;1.324,80 €;147,20 €;1.177,60 €;294,40 €;736,00 €;736,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 300.000 - 400.000 kW;;;2.530,00 €;2.150,50 €;2.024,00 €;1.821,60 €;202,40 €;1.619,20 €;404,80 €;1.012,00 €;1.012,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 400.000 - 500.000 kW;;;3.220,00 €;2.737,00 €;2.576,00 €;2.318,40 €;257,60 €;2.060,80 €;515,20 €;1.288,00 €;1.288,00 €
PLENITUDE;3.0TD;FACIL ENERGY+;Cons. 500.000 - 700.000 kW;;;3.680,00 €;3.128,00 €;2.944,00 €;2.649,60 €;294,40 €;2.355,20 €;588,80 €;1.472,00 €;1.472,00 €
